Date,State/UT,Total Confirmed cases,Death,Cured,New_cases,New_deaths,New_cured
02-03-2020,Delhi,1,0,0,0,0,0
03-03-2020,Delhi,1,0,0,0,0,0
04-03-2020,Delhi,1,0,0,0,0,0
05-03-2020,Delhi,2,0,0,1,0,0
06-03-2020,Delhi,3,0,0,1,0,0
07-03-2020,Delhi,3,0,0,0,0,0
08-03-2020,Delhi,3,0,0,0,0,0
09-03-2020,Delhi,4,0,0,1,0,0
10-03-2020,Delhi,4,0,0,0,0,0
11-03-2020,Delhi,5,0,0,1,0,0
12-03-2020,Delhi,6,0,0,1,0,0
13-03-2020,Delhi,6,0,0,0,0,0
14-03-2020,Delhi,7,1,1,1,1,1
15-03-2020,Delhi,7,1,2,0,0,1
16-03-2020,Delhi,7,1,2,0,0,0
17-03-2020,Delhi,8,1,2,1,0,0
18-03-2020,Delhi,10,1,2,2,0,0
19-03-2020,Delhi,12,1,3,2,0,1
20-03-2020,Delhi,17,1,3,5,0,0
21-03-2020,Delhi,26,1,5,9,0,2
22-03-2020,Delhi,29,1,5,3,0,0
23-03-2020,Delhi,29,1,5,0,0,0
24-03-2020,Delhi,30,2,6,1,1,1
25-03-2020,Delhi,31,1,6,1,-1,0
26-03-2020,Delhi,36,1,6,5,0,0
27-03-2020,Delhi,36,1,6,0,0,0
28-03-2020,Delhi,39,1,6,3,0,0
29-03-2020,Delhi,39,2,6,0,1,0
30-03-2020,Delhi,53,2,6,14,0,0
31-03-2020,Delhi,97,2,6,44,0,0
01-04-2020,Delhi,152,2,6,55,0,0
02-04-2020,Delhi,152,2,6,0,0,0
03-04-2020,Delhi,219,4,8,67,2,2
04-04-2020,Delhi,386,6,8,167,2,0
05-04-2020,Delhi,445,6,15,59,0,7
06-04-2020,Delhi,503,7,18,58,1,3
07-04-2020,Delhi,523,7,19,20,0,1
08-04-2020,Delhi,576,9,21,53,2,2
09-04-2020,Delhi,669,9,21,93,0,0
10-04-2020,Delhi,720,12,25,51,3,4
11-04-2020,Delhi,903,13,25,183,1,0
12-04-2020,Delhi,1069,19,25,166,6,0
13-04-2020,Delhi,1154,24,27,85,5,2
14-04-2020,Delhi,1510,28,30,356,4,3
15-04-2020,Delhi,1561,30,30,51,2,0
16-04-2020,Delhi,1578,32,40,17,2,10
17-04-2020,Delhi,1640,38,51,62,6,11
18-04-2020,Delhi,1707,42,72,67,4,21
19-04-2020,Delhi,1893,42,72,186,0,0
20-04-2020,Delhi,2003,45,72,110,3,0
21-04-2020,Delhi,2081,47,431,78,2,359
22-04-2020,Delhi,2156,47,611,75,0,180
23-04-2020,Delhi,2248,48,724,92,1,113
24-04-2020,Delhi,2376,50,808,128,2,84
25-04-2020,Delhi,2514,53,857,138,3,49
26-04-2020,Delhi,2625,54,869,111,1,12
27-04-2020,Delhi,2918,54,877,293,0,8
28-04-2020,Delhi,3108,54,877,190,0,0
29-04-2020,Delhi,3314,54,1078,206,0,201
30-04-2020,Delhi,3439,56,1092,125,2,14
01-05-2020,Delhi,3515,59,1094,76,3,2
02-05-2020,Delhi,3738,61,1167,223,2,73
03-05-2020,Delhi,4122,64,1256,384,3,89
04-05-2020,Delhi,4549,64,1362,427,0,106
05-05-2020,Delhi,4898,64,1431,349,0,69
06-05-2020,Delhi,5104,64,1468,206,0,37
07-05-2020,Delhi,5532,65,1542,428,1,74
08-05-2020,Delhi,5980,66,1931,448,1,389
09-05-2020,Delhi,6318,68,2020,338,2,89
10-05-2020,Delhi,6542,73,2020,224,5,0
11-05-2020,Delhi,6923,73,2069,381,0,49
12-05-2020,Delhi,7233,73,2129,310,0,60
13-05-2020,Delhi,7639,86,2512,406,13,383
14-05-2020,Delhi,7998,106,2858,359,20,346
15-05-2020,Delhi,8470,115,3045,472,9,187
16-05-2020,Delhi,8895,123,3518,425,8,473
17-05-2020,Delhi,9333,129,3926,438,6,408
18-05-2020,Delhi,10054,160,4485,721,31,559
19-05-2020,Delhi,10054,168,4485,0,8,0
20-05-2020,Delhi,10554,168,4750,500,0,265
21-05-2020,Delhi,11088,176,5192,534,8,442
22-05-2020,Delhi,11659,194,5567,571,18,375
23-05-2020,Delhi,12319,208,5897,660,14,330
24-05-2020,Delhi,12910,231,6267,591,23,370
25-05-2020,Delhi,13418,261,6540,508,30,273
26-05-2020,Delhi,14053,276,6771,635,15,231
27-05-2020,Delhi,14465,288,7223,412,12,452
28-05-2020,Delhi,15257,303,7264,792,15,41
29-05-2020,Delhi,16281,316,7495,1024,13,231
30-05-2020,Delhi,17386,398,7846,1105,82,351
31-05-2020,Delhi,18549,416,8075,1163,18,229
01-06-2020,Delhi,19844,473,8478,1295,57,403
02-06-2020,Delhi,20834,523,8746,990,50,268
03-06-2020,Delhi,22132,556,9243,1298,33,497
04-06-2020,Delhi,23645,606,9542,1513,50,299
05-06-2020,Delhi,25004,650,9898,1359,44,356
06-06-2020,Delhi,26334,708,10315,1330,58,417
07-06-2020,Delhi,27654,761,10664,1320,53,349
08-06-2020,Delhi,28936,812,10999,1282,51,335
09-06-2020,Delhi,29943,874,11357,1007,62,358
10-06-2020,Delhi,31309,905,11861,1366,31,504
11-06-2020,Delhi,32810,984,12245,1501,79,384
12-06-2020,Delhi,34687,1085,12731,1877,101,486
13-06-2020,Delhi,36824,1214,13398,2137,129,667
14-06-2020,Delhi,38958,1271,14945,2134,57,1547
15-06-2020,Delhi,41182,1327,15823,2224,56,878
16-06-2020,Delhi,42829,1400,16427,1647,73,604
17-06-2020,Delhi,44688,1837,16500,1859,437,73
18-06-2020,Delhi,47102,1904,17457,2414,67,957
19-06-2020,Delhi,49979,1969,21341,2877,65,3884
20-06-2020,Delhi,53116,2035,23569,3137,66,2228
21-06-2020,Delhi,56746,2112,31294,3630,77,7725
22-06-2020,Delhi,59746,2175,33013,3000,63,1719
23-06-2020,Delhi,62655,2233,36602,2909,58,3589
24-06-2020,Delhi,66602,2301,39313,3947,68,2711
25-06-2020,Delhi,70390,2365,41437,3788,64,2124
27-06-2020,Delhi,77240,2492,47091,6850,127,5654
28-06-2020,Delhi,80188,2558,49301,2948,66,2210
29-06-2020,Delhi,83077,2623,52607,2889,65,3306
30-06-2020,Delhi,85161,2680,56235,2084,57,3628
02-07-2020,Delhi,89802,2803,59992,4641,123,3757
03-07-2020,Delhi,92175,2864,63007,2373,61,3015
05-07-2020,Delhi,97200,3004,68256,5025,140,5249
07-07-2020,Delhi,100823,3115,72088,3623,111,3832
08-07-2020,Delhi,102831,3165,74217,2008,50,2129
09-07-2020,Delhi,104864,3213,78199,2033,48,3982
10-07-2020,Delhi,107051,3258,82226,2187,45,4027
11-07-2020,Delhi,109140,3300,84694,2089,42,2468
12-07-2020,Delhi,110921,3334,87692,1781,34,2998
13-07-2020,Delhi,112494,3371,89968,1573,37,2276
14-07-2020,Delhi,113740,3411,91312,1246,40,1344
15-07-2020,Delhi,115346,3446,93236,1606,35,1924
16-07-2020,Delhi,116993,3487,95699,1647,41,2463
17-07-2020,Delhi,116993,3487,95699,0,0,0
19-07-2020,Delhi,121582,3597,101274,4589,110,5575
20-07-2020,Delhi,122793,3628,103134,1211,31,1860
21-07-2020,Delhi,123747,3663,104918,954,35,1784
22-07-2020,Delhi,125096,3690,106118,1349,27,1200
23-07-2020,Delhi,126323,3719,107650,1227,29,1532
24-07-2020,Delhi,127364,3745,109065,1041,26,1415
25-07-2020,Delhi,128389,3777,110931,1025,32,1866
26-07-2020,Delhi,129531,3806,113068,1142,29,2137
27-07-2020,Delhi,130606,3827,114875,1075,21,1807
